dataset,init,seed,run_name,declared_epochs,batch_size,summary_path,epochs_available,best_top1_full,best_epoch_full,final_top1_full,final_loss_full,paper_top1,best_top1_50ep,best_epoch_50ep,final_top1_50ep,final_loss_50ep,mean_top1_50ep,best_top1_100ep,best_epoch_100ep,final_top1_100ep,final_loss_100ep,mean_top1_100ep,best_top1_150ep,best_epoch_150ep,final_top1_150ep,final_loss_150ep,mean_top1_150ep,best_top1_250ep,best_epoch_250ep,final_top1_250ep,final_loss_250ep,mean_top1_250ep,epochs_to_65,epochs_to_70,epochs_to_72,epochs_to_85,epochs_to_90,epochs_to_92,best_top1_300ep,best_epoch_300ep,final_top1_300ep,final_loss_300ep,mean_top1_300ep
cifar10,default,0,cifar10_official_default_seed0_300ep_bs1024,300,1024,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar10_official_default_seed0_300ep_bs1024/summary.csv,300,89.11999965820313,298,89.08999965820313,0.481610570859909,92.29,57.21,46,56.409999822998046,1.3390410610198975,45.792599942016594,72.17000008544922,99,69.12000013427735,1.020314411830902,54.92979991931153,79.95999958496094,146,79.70999967041016,0.7504914959907532,61.87379992211914,88.19999987792968,244,88.07999990234374,0.5009829461097717,71.00407991210939,75,92.0,99.0,198.0,,,89.11999965820313,298.0,89.08999965820313,0.481610570859909,73.96246657035319
cifar10,default,1,cifar10_official_default_seed1_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed1/cifar10_official_default_seed1_250ep_bs1024/summary.csv,250,87.72,231,87.56,0.5298204217910767,92.29,55.44,49,54.57999996948242,1.349288602638245,45.06919992779541,72.64000002441406,99,71.72999963378906,0.9688294838905336,54.2909999137268,81.54999993896485,150,81.54999993896485,0.7203165080070496,61.6750665730184,87.72,231,87.56,0.5298204217910767,71.16459988233642,78,93.0,99.0,184.0,,,,,,,
cifar10,default,2,cifar10_official_default_seed2_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed2/cifar10_official_default_seed2_250ep_bs1024/summary.csv,250,87.43999978027344,245,87.4,0.5331688404083252,92.29,56.4200000366211,45,56.30999981079101,1.4086741823196411,44.62919992770386,70.29000010986329,100,70.29000010986329,0.9589140023231506,53.924099929061896,80.70999962158203,150,80.70999962158203,0.6917072754859924,61.290066573964445,87.43999978027344,245,87.4,0.5331688404083252,70.85787990004272,79,98.0,105.0,184.0,,,,,,,
cifar10,mimetic,0,cifar10_official_mimetic_seed0_300ep_bs1024,300,1024,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar10_official_mimetic_seed0_300ep_bs1024/summary.csv,300,91.99000008544922,298,91.9399999267578,0.4046307607650757,93.5,65.73999967041016,50,65.73999967041016,1.142662706565857,50.890999919403086,76.90999985351563,99,76.01999981689453,0.8551530938148498,60.589599901351924,83.39999985351562,146,82.88999991455078,0.6534427044868469,67.00219988272094,91.31999967041016,250,91.31999967041016,0.4239035277366638,75.42547986151733,50,66.0,82.0,165.0,223.0,,91.99000008544922,298.0,91.9399999267578,0.4046307607650757,78.13943320153301
cifar10,mimetic,1,cifar10_official_mimetic_seed1_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed1/cifar10_official_mimetic_seed1_250ep_bs1024/summary.csv,250,91.02999963378906,239,90.90999963378906,0.4400342462539673,93.5,64.14999969482422,50,64.14999969482422,1.1177150476455688,50.79099990344238,77.82999979248046,99,76.37999991455078,0.8511425218582154,60.775499897705075,84.89999976806641,150,84.89999976806641,0.6213110334396362,67.536333222819,91.02999963378906,239,90.90999963378906,0.4400342462539673,76.08779988413086,53,71.0,75.0,152.0,202.0,,,,,,
cifar10,mimetic,2,cifar10_official_mimetic_seed2_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed2/cifar10_official_mimetic_seed2_250ep_bs1024/summary.csv,250,90.42000001220704,239,90.30999985351562,0.4423503226280212,93.5,64.64000003662109,45,64.61000017089843,1.1617473051071168,50.910199938110345,77.47,98,77.02000013427734,0.7794046265602111,61.0496998959961,84.41999982910156,150,84.41999982910156,0.5893696041107178,67.6423998939616,90.42000001220704,239,90.30999985351562,0.4423503226280212,76.0079598777832,52,68.0,78.0,154.0,219.0,,,,,,
cifar10,impulse,0,cifar10_official_impulse_seed0_300ep_bs1024,300,1024,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar10_official_impulse_seed0_300ep_bs1024/summary.csv,300,92.47000012207032,277,92.46999974365234,0.3904635427474975,94.67,64.86000010986328,50,64.86000010986328,1.161972311973572,51.5453999328003,76.08999969482421,99,75.22999971923828,0.8366004161834717,60.8537999072571,84.98999982910156,147,84.46999989013672,0.6212080890655518,67.42479989365641,91.8499997680664,249,91.4999996459961,0.4185398687839508,76.013959877063,51,72.0,75.0,152.0,203.0,257.0,92.47000012207032,277.0,92.46999974365234,0.3904635427474975,78.72009987688192
cifar10,impulse,1,cifar10_official_impulse_seed1_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed1/cifar10_official_impulse_seed1_250ep_bs1024/summary.csv,250,90.89999979248049,247,90.82999963378906,0.4381200496196746,94.67,64.83999985351562,46,63.310000134277345,1.184167141342163,51.999799928833006,77.85999967041016,98,77.84999963378907,0.8477313521385192,61.608699902404766,85.14999986572266,146,85.10999967041016,0.6367807558059693,68.22019988667807,90.89999979248049,247,90.82999963378906,0.4381200496196746,76.52447987814942,53,63.0,75.0,146.0,206.0,,,,,,
cifar10,impulse,2,cifar10_official_impulse_seed2_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed2/cifar10_official_impulse_seed2_250ep_bs1024/summary.csv,250,89.91999979248047,242,89.80999963378906,0.4595069276332855,94.67,63.58999963378906,50,63.58999963378906,1.1214192777633667,50.886799914459225,76.82999991455078,100,76.82999991455078,0.8447917427062989,60.278299903945936,83.97000010986328,149,83.93999963378906,0.6188471311569214,66.8445332256775,89.91999979248047,242,89.80999963378906,0.4595069276332855,75.32567986909791,52,74.0,77.0,155.0,,,,,,,
cifar100,default,0,cifar100_official_default_seed0_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar100_official_default_seed0_250ep_bs1024/summary.csv,250,67.95000015869141,249,67.9100001586914,1.3294412456512452,71.67,32.52000005493164,48,31.969999911499023,2.864721019744873,21.751199953468316,50.799999816894534,98,50.74999999389649,1.9745876861572265,31.626599949756613,61.51999993896485,144,61.05999985961914,1.566944542503357,39.96866659870656,67.95000015869141,249,67.9100001586914,1.3294412456512452,50.333079926924135,178,,,,,,,,,,
cifar100,mimetic,0,cifar100_official_mimetic_seed0_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar100_official_mimetic_seed0_250ep_bs1024/summary.csv,250,72.6699998046875,229,72.55000014648438,1.141653799629211,75.16,40.35999998779297,50,40.35999998779297,2.426607647323608,25.887399972831727,57.80999990234375,98,57.73999989013672,1.642642428970337,37.93379995363998,67.51999993896484,150,67.51999993896484,1.314943881225586,46.336799932146704,72.6699998046875,229,72.55000014648438,1.141653799629211,56.14043992169037,133,181.0,205.0,,,,,,,,
cifar100,impulse,0,cifar100_official_impulse_seed0_250ep_bs1024,250,1024,/Users/lushen/Desktop/results/seed0/official_structured_results/cifar100_official_impulse_seed0_250ep_bs1024/summary.csv,250,71.97999970703125,229,71.70000014648437,1.1707460920333863,77.02,40.23999982910156,49,39.63999995117187,2.5328817237854,25.554199961601256,58.1799998840332,98,56.98999981079101,1.7435790369033817,37.533699946681985,66.4199998046875,149,66.24999971923828,1.3497407455444337,45.93906659917959,71.97999970703125,229,71.70000014648437,1.1707460920333863,55.643079904039,137,186.0,,,,,,,,,
